 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2008
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
".....  SAO JOSE DO MANTIMENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ALTO CAPARAO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  POCRANE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CAPUTIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  REDUTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SANTANA DO MANHUACU";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  MATIPO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  ABRE CAMPO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  MUTUM";-;-;-;26;35;34;59;237;210;73;44;37;45;143;62;41;20;12;9;11;5;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1109
"31060 Ponte Nova";3;-;1;2;4;4;1;4;5;9;9;16;37;227;434;457;254;214;140;133;79;38;42;21;26;17;4;10;8;-;1;1;-;-;-;-;-;-;1;1;1;1;4;1;2;4;1;10;11;4;2;4;-;1;2249
".....  RIO CASCA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;4;-;3;1;13;16;8;-;7;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;62
".....  DOM SILVERIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
".....  DIOGO DE VASCONCELOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
".....  SANTA CRUZ DO ESCALVADO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BARRA LONGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  JEQUERI";-;-;-;-;-;-;-;2;3;1;-;-;-;-;-;-;6;-;-;-;4;2;1;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;25
".....  AMPARO DO SERRA";-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  ALVINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;8
".....  GUARACIABA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SAO PEDRO DOS FERROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
".....  RIO DOCE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  RAUL SOARES";-;-;-;-;-;1;-;1;-;-;2;-;-;-;1;2;6;14;2;-;-;-;2;2;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
".....  SAO JOSE DO GOIABAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;1;-;-;7
".....  URUCANIA";3;-;-;-;-;-;-;-;-;-;1;-;-;1;1;8;4;3;1;-;2;1;2;-;3;12;1;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;7;10;-;-;1;-;1;73
".....  ORATORIOS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;2;1;1;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  PONTE NOVA";-;-;1;2;3;3;1;1;2;7;6;15;35;222;422;435;231;187;133;119;56;25;34;11;14;2;1;4;2;-;1;1;-;-;-;-;-;-;1;-;1;1;4;1;-;-;1;-;-;2;1;1;-;-;1989
"31061 Viçosa";-;1;1;2;-;-;1;1;1;-;-;-;1;15;17;12;11;13;4;10;17;1;4;1;3;-;1;2;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;125
".....  PAULA CANDIDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  TEIXEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  VICOSA";-;1;1;2;-;-;1;1;1;-;-;-;1;15;16;10;8;13;4;8;16;1;3;1;3;-;1;2;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;115
"31062 Águas Formosas";-;-;2;-;-;-;-;1;1;2;2;-;-;2;22;26;20;17;9;12;11;4;10;10;3;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157
".....  CRISOLITA";-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;4;8;1;8;7;2;1;10;5;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54
".....  UMBURATIBA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  AGUAS FORMOSAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;11;8;1;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
".....  PAVAO";-;-;-;-;-;-;-;1;-;2;1;-;-;-;19;11;3;15;1;1;3;2;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
".....  BERTOPOLIS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MACHACALIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"31064 Araçuaí";-;1;2;1;3;-;-;2;2;1;1;2;1;32;35;52;28;28;19;38;34;7;15;1;9;3;1;4;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;327
".....  ARACUAI";-;1;-;1;2;-;-;1;2;1;1;2;1;8;28;48;24;24;19;37;33;7;15;1;9;3;1;4;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;278
".....  FRANCISCO BADARO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  VIRGEM DA LAPA";-;-;2;-;-;-;-;-;-;-;-;-;-;23;6;3;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
".....  BERILO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  JENIPAPO DE MINAS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31065 Itaobim";-;4;4;5;11;8;32;39;91;59;277;160;114;285;354;250;239;96;115;138;71;21;19;27;16;13;2;7;1;2;1;2;-;2;1;1;-;1;1;-;-;-;2;3;1;-;1;2;3;1;-;-;1;-;2483
".....  ITAOBIM";-;4;4;3;11;8;32;37;89;47;255;142;67;181;184;114;96;20;71;39;20;7;4;4;2;-;-;1;-;2;1;2;-;-;1;1;-;1;1;-;-;-;1;3;1;-;-;1;3;-;-;-;1;-;1461
".....  ITINGA";-;-;-;-;-;-;-;1;2;11;14;14;45;70;72;51;38;29;13;24;30;7;6;2;7;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;440
".....  MEDINA";-;-;-;-;-;-;-;-;-;1;1;1;1;13;46;21;13;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;102
".....  PONTO DOS VOLANTES";-;-;-;-;-;-;-;-;-;-;7;3;-;11;8;29;64;28;28;61;17;7;9;21;7;11;2;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;320
".....  COMERCINHO";-;-;-;2;-;-;-;1;-;-;-;-;1;10;44;35;28;18;2;14;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;160
"31066 Nanuque";-;-;1;-;-;-;-;5;1;3;-;4;2;10;14;16;18;26;23;56;61;47;60;58;26;28;20;5;9;3;1;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;1;-;2;509
".....  CARLOS CHAGAS";-;-;1;-;-;-;-;4;-;-;-;3;1;9;6;13;9;20;14;49;54;44;59;52;23;27;19;4;9;3;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;428
".....  SERRA DOS AIMORES";-;-;-;-;-;-;-;1;1;3;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;2;22
".....  NANUQUE";-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;3;7;6;9;7;7;3;1;6;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59
"31067 Padre Paraíso";-;-;-;-;-;1;-;-;2;4;9;13;7;11;12;25;19;13;3;8;7;2;3;3;2;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151
".....  CARAI";-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;3;6;1;-;1;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  CATUJI";-;-;-;-;-;-;-;-;1;4;7;10;6;8;10;9;10;10;3;6;3;2;2;2;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99
".....  PADRE PARAISO";-;-;-;-;-;1;-;-;1;-;-;2;1;2;2;13;3;2;-;1;2;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
"31068 Pedra azul";-;2;10;33;63;97;75;108;137;158;118;93;56;67;111;64;45;22;31;15;9;3;4;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1327
".....  DIVISOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;-;4;6;15;18;14;18;11;8;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100
".....  AGUAS VERMELHAS";-;-;1;-;-;-;-;-;-;-;1;1;-;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  DIVISA ALEGRE";-;1;-;-;1;-;1;1;1;26;14;14;17;45;61;27;16;3;9;3;-;-;1;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;247
".....  PEDRA AZUL";-;1;9;33;62;97;74;107;136;132;102;78;37;14;37;20;9;4;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;956
".....  CACHOEIRA DE PAJEU";-;-;-;-;-;-;-;-;-;-;-;-;2;1;5;1;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"31070 Araxá";-;-;4;2;3;4;-;1;-;3;1;2;3;2;13;14;11;7;5;1;8;2;3;3;1;3;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;1;105
".....  ARAXA";-;-;2;2;2;2;-;1;-;3;1;2;1;2;9;12;4;4;4;1;2;1;2;3;1;2;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;1;72
".....  IBIA";-;-;1;-;1;2;-;-;-;-;-;-;2;-;4;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
".....  PERDIZES";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2;1;-;6;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  TAPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31071 Frutal/Iturama";-;3;4;2;1;6;11;9;6;5;19;8;11;32;37;51;23;38;34;32;19;11;16;11;6;15;5;-;-;-;1;3;2;5;-;7;8;3;2;5;-;1;4;2;2;7;23;6;22;3;10;5;5;3;544
".....  SAO FRANCISCO DE SALES";-;-;-;-;-;-;3;1;-;1;5;1;2;7;1;9;3;3;7;3;1;-;-;1;2;6;-;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;61
".....  UNIAO DE MINAS";-;-;2;-;-;-;-;-;-;-;-;-;1;3;5;3;1;4;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;-;-;29
".....  ITURAMA";-;-;-;-;-;-;-;-;2;-;5;4;2;11;10;11;14;25;19;23;15;5;4;7;3;3;4;-;-;-;1;2;-;4;-;6;6;3;2;4;-;-;3;2;1;5;20;5;22;2;-;2;-;-;257
".....  LIMEIRA DO OESTE";-;-;-;-;-;-;-;-;1;1;-;-;2;4;2;2;-;-;6;4;-;4;11;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
".....  FRONTEIRA";-;-;-;1;-;1;4;1;1;1;2;-;-;3;3;5;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
".....  FRUTAL";-;2;2;-;1;1;4;7;2;1;2;-;3;2;10;11;2;3;1;1;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;1;-;-;1;1;1;-;-;6;2;1;-;74
".....  PIRAJUBA";-;-;-;-;-;-;-;-;-;-;4;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  PLANURA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  CARNEIRINHO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;3;11
".....  COMENDADOR GOMES";-;-;-;-;-;3;-;-;-;1;1;1;1;-;3;5;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  ITAPAGIPE";-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;10
"31072 Uberaba";-;8;6;10;3;7;3;7;11;12;6;4;8;43;95;92;91;51;25;31;19;20;19;7;9;14;4;3;2;-;8;3;5;4;4;7;2;2;3;5;3;4;1;2;3;6;1;2;2;10;8;3;1;2;701
".....  SACRAMENTO";-;5;-;1;-;2;-;-;2;-;-;1;4;8;24;23;19;9;3;4;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;-;113
".....  UBERABA";-;3;4;7;3;4;3;5;8;9;5;1;3;32;59;59;62;36;21;18;16;19;18;4;7;7;2;2;2;-;5;1;5;2;4;4;2;2;3;2;3;3;1;1;2;2;-;1;2;4;3;3;-;2;476
".....  CAMPO FLORIDO";-;-;1;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3;1;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;14
".....  DELTA";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CONCEICAO DAS ALAGOAS";-;-;-;-;-;-;-;1;1;-;-;1;1;1;3;4;8;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
".....  AGUA COMPRIDA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
".....  VERISSIMO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CONQUISTA";-;-;1;1;-;1;-;1;-;-;-;1;-;2;4;2;-;3;-;5;2;-;-;-;1;6;2;1;-;-;2;2;-;2;-;3;-;-;-;3;-;-;-;1;1;2;1;-;-;4;4;-;-;-;58
"31073 Ituiutaba";-;2;5;4;5;8;9;12;5;10;15;22;14;46;72;68;55;41;31;23;14;5;7;8;3;1;5;3;-;1;-;-;1;3;-;1;2;-;-;-;-;2;2;1;2;1;8;2;11;13;6;5;2;6;562
".....  GURINHATA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
".....  CENTRALINA";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CACHOEIRA DOURADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3
".....  SANTA VITORIA";-;-;-;-;-;-;1;1;-;-;1;-;-;2;2;-;1;-;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;14
".....  CAPINOPOLIS";-;-;-;-;-;-;-;1;-;1;1;1;-;5;11;14;13;15;6;6;4;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;84
".....  IPIACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  CAMPINA VERDE";-;-;2;3;3;4;2;2;4;5;5;8;6;11;17;14;5;5;7;5;2;-;2;1;-;1;2;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;3;2;-;-;-;128
".....  CANAPOLIS";-;-;-;-;-;1;-;-;-;-;-;-;-;2;5;2;-;3;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;18
".....  ITUIUTABA";-;2;3;1;2;3;6;8;1;4;7;13;7;25;36;37;33;18;16;9;6;3;2;2;3;-;3;2;-;-;-;-;-;1;-;1;1;-;-;-;-;2;-;-;2;-;8;2;8;9;3;5;2;6;302
"31074 Patrocínio/Monte Carmelo";-;2;1;3;7;2;2;3;1;-;2;-;3;5;11;5;5;6;1;3;3;-;-;2;-;-;2;1;-;1;2;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;1;-;1;-;-;82
".....  MONTE CARMELO";-;1;1;-;-;1;-;1;-;-;-;-;-;-;3;1;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;17
".....  IRAI DE MINAS";-;-;-;1;6;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  COROMANDEL";-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  ESTRELA DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
".....  ABADIA DOS DOURADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  PATROCINIO";-;-;-;2;1;-;2;2;1;-;-;-;3;3;5;3;2;3;1;3;1;-;-;2;-;-;1;1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;43
"31075 Uberlândia/Araguari";-;10;20;52;33;17;25;23;36;26;48;54;44;101;135;128;128;115;76;83;74;40;52;42;17;22;28;21;9;4;5;4;6;4;2;8;7;4;14;6;11;12;7;2;10;5;5;5;10;11;5;9;3;1;1619
".....  PRATA";-;2;1;1;-;-;-;-;-;-;-;1;2;2;5;4;2;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;27
".....  NOVA PONTE";-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  UBERLANDIA";-;6;15;44;24;9;18;19;25;21;35;38;29;81;90;84;87;80;45;52;44;29;36;16;14;14;17;12;8;3;4;3;5;3;2;7;6;4;6;6;6;11;6;1;8;4;1;2;8;9;4;7;1;1;1110
